date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2020-10-12,929.8163265306122,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,-4.5,-4.5,-4.5
2020-10-13,984.3061224489795,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,-4.6,-4.6,-4.6
2020-10-14,1038.795918367347,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,-4.6,-4.6,-4.6
2020-10-15,1093.2857142857142,951,951,951,951,951,951,951,951,951,-4.7,-4.7,-4.7
2020-10-16,1172.2244897959183,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,-4.7,-4.7,-4.7
2020-10-17,1251.1632653061224,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,-4.6,-4.6,-4.6
2020-10-18,1330.1020408163265,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,-4.6,-4.6,-4.6
2020-10-19,1409.0408163265306,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,-4.5,-4.5,-4.5
2020-10-20,1487.9795918367347,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,-4.5,-4.5,-4.5
2020-10-21,1566.9183673469388,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,-4.5,-4.5,-4.5
2020-10-22,1645.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,-4.4,-4.4,-4.4
