date,reality,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-08-07,604,853,870,833,796,759,833,759,870,5.1,7.5,8.8,483.2857142857143,556.0000000000146,217.5714285714284,189.5190670112131,614.5614180704883
2021-08-08,616,910,914,883,821,771,883,771,914,5.1,8.8,9.8,483.2857142857143,575.0000000000152,221.85714285714263,192.91192478670936,635.9048364088692
2021-08-09,618,1003,988,932,858,784,932,784,1003,5.5,10.3,12.7,483.2857142857143,594.0000000000159,226.14285714285697,196.3047825622056,657.1415376555582
2021-08-10,621,1067,1050,982,883,784,982,784,1067,5.4,11.9,14.7,483.2857142857143,613.0000000000166,230.4285714285712,199.6976403377018,678.2720553960137
2021-08-11,628,1138,1130,1031,907,790,1031,790,1138,5.3,13.3,16.8,483.2857142857143,632.0000000000173,234.7142857142855,203.09049811319804,699.296920547767
2021-08-12,627,1202,1192,1081,920,784,1081,784,1202,5.2,15.0,18.9,483.2857142857143,651.000000000018,238.99999999999977,206.4833558886943,720.2166613737614
2021-08-13,628,1273,1273,1130,945,784,1130,784,1273,5.1,16.5,21.2,483.2857142857143,670.0000000000186,243.28571428571405,209.87621366419052,741.0318034956259
2021-08-14,628,1337,1341,1180,957,771,1180,771,1341,4.7,18.2,23.5,483.2857142857143,689.0000000000193,247.57142857142833,213.2690714396867,761.7428699068811
2021-08-15,624,1422,1421,1229,969,759,1229,759,1422,4.4,19.9,26.3,483.2857142857143,708.00000000002,251.8571428571426,216.66192921518297,782.35038098608
2021-08-16,624,1493,1489,1267,982,753,1267,753,1493,4.2,21.2,28.6,483.2857142857143,727.0000000000207,256.1428571428569,220.0547869906792,802.8548545098829
2021-08-17,620,1571,1570,1316,994,734,1316,734,1571,3.8,22.9,31.3,483.2857142857143,746.0000000000214,260.42857142857116,223.44764476617544,823.2568056660668
2021-08-18,617,1635,1632,1353,994,722,1353,722,1635,3.5,24.2,33.5,483.2857142857143,765.000000000022,264.71428571428544,226.84050254167164,843.5567470664698
2021-08-19,612,1714,1706,1390,1006,709,1390,709,1714,3.2,25.6,36.3,483.2857142857143,784.0000000000227,268.9999999999997,230.23336031716784,863.7551887598707
2021-08-20,604,1770,1768,1427,1006,685,1427,685,1770,2.7,27.1,38.4,483.2857142857143,803.0000000000234,273.285714285714,233.6262180926641,883.8526382448047
2021-08-21,600,1841,1842,1452,1006,672,1452,672,1842,2.4,28.1,40.9,483.2857142857143,822.0000000000241,277.57142857142827,237.01907586816031,903.8496004823139
2021-08-22,597,1898,1892,1477,994,647,1477,647,1898,1.6,29.0,42.9,483.2857142857143,841.0000000000248,281.85714285714255,240.41193364365657,923.7465779086357
2021-08-23,580,1955,1954,1508,994,623,1508,623,1955,1.4,30.6,45.3,483.2857142857143,860.0000000000255,286.1428571428568,243.8047914191528,943.5440704478258
2021-08-24,571,2012,2003,1527,982,610,1527,610,2012,1.3,31.5,47.5,483.2857142857143,879.0000000000261,290.4285714285711,247.19764919464905,963.24257552432
2021-08-25,558,2048,2053,1545,969,585,1545,585,2053,0.9,32.5,49.2,483.2857142857143,898.0000000000268,294.7142857142854,250.59050697014524,982.8425880754318
2021-08-26,551,2090,2090,1551,957,561,1551,561,2090,0.3,32.9,50.7,483.2857142857143,917.0000000000276,298.99999999999966,253.9833647456415,1002.3446005637879
2021-08-27,534,2126,2127,1564,945,536,1564,536,2127,0.1,33.9,52.5,483.2857142857143,936.0000000000282,303.28571428571394,257.3762225211377,1021.7491029897024
2021-08-28,517,2154,2152,1576,932,524,1576,524,2154,0.2,34.9,53.9,483.2857142857143,955.0000000000288,307.5714285714282,260.76908029663394,1041.0565829034872
2021-08-29,505,2183,2177,1576,920,499,1576,499,2183,-0.2,35.3,55.3,483.2857142857143,974.0000000000296,311.8571428571425,264.16193807213017,1060.267525417703
2021-08-30,494,2197,2195,1576,901,474,1576,474,2197,-0.7,35.6,56.1,483.2857142857143,993.0000000000302,316.14285714285677,267.5547958476264,1079.3824132193477
2021-08-31,468,2211,2214,1570,883,455,1570,455,2214,-0.4,36.3,57.5,483.2857142857143,1012.0000000000308,320.42857142857105,270.9476536231226,1098.4017265819843
2021-09-01,464,2218,2220,1564,864,437,1564,437,2220,-0.9,36.2,57.8,483.2857142857143,1031.0000000000316,324.7142857142853,274.3405113986189,1117.3259433778078
2021-09-02,454,2225,2220,1551,846,412,1551,412,2225,-1.4,36.1,58.3,483.2857142857143,1050.0000000000323,328.9999999999996,277.73336917411507,1136.155539089652
2021-09-03,435,2218,2220,1539,821,400,1539,400,2220,-1.2,36.4,58.8,483.2857142857143,1069.000000000033,333.2857142857139,281.12622694961135,1154.890986822937
2021-09-04,427,2211,2208,1520,802,375,1520,375,2211,-1.7,36.0,58.8,483.2857142857143,1088.0000000000337,337.57142857142816,284.5190847251075,1173.532757317556
2021-09-05,416,2197,2189,1502,784,363,1502,363,2197,-1.7,35.8,58.7,483.2857142857143,1107.0000000000343,341.85714285714243,287.9119425006038,1192.0813189597013
2021-09-06,400,2168,2164,1477,759,344,1477,344,2168,-1.8,35.5,58.2,483.2857142857143,1126.000000000035,346.1428571428567,291.30480027609997,1210.5371377936362
2021-09-07,377,2140,2139,1452,734,325,1452,325,2140,-1.7,35.4,58.1,483.2857142857143,1145.0000000000357,350.428571428571,294.69765805159625,1228.9006775334014
