date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2020-10-28,2100.142857142857,2103.5714285714284,2103.5714285714284,2103.5714285714284,2103.5714285714284,2103.5714285714284,2103.5714285714284,0.1,0.1,0.1
2020-10-29,2175.8571428571427,2179.4285714285716,2179.4285714285716,2179.4285714285716,2179.4285714285716,2179.4285714285716,2179.4285714285716,0.1,0.1,0.1
2020-10-30,2196.7551020408164,2201.285714285714,2201.285714285714,2201.285714285714,2201.285714285714,2201.285714285714,2201.285714285714,0.1,0.1,0.1
2020-10-31,2217.6530612244896,2223.1428571428573,2223.1428571428573,2223.1428571428573,2223.1428571428573,2223.1428571428573,2223.1428571428573,0.2,0.2,0.2
2020-11-01,2238.5510204081634,2245,2245,2245,2245,2245,2245,0.2,0.2,0.2
2020-11-02,2259.4489795918366,2266.857142857143,2266.857142857143,2266.857142857143,2266.857142857143,2266.857142857143,2266.857142857143,0.2,0.2,0.2
2020-11-03,2280.3469387755104,2288.714285714286,2288.714285714286,2288.714285714286,2288.714285714286,2288.714285714286,2288.714285714286,0.3,0.3,0.3
2020-11-04,2301.2448979591836,2310.571428571429,2310.571428571429,2310.571428571429,2310.571428571429,2310.571428571429,2310.571428571429,0.3,0.3,0.3
2020-11-05,2322.1428571428573,2332.4285714285716,2332.4285714285716,2332.4285714285716,2332.4285714285716,2332.4285714285716,2332.4285714285716,0.3,0.3,0.3
2020-11-06,2274.9387755102043,2285.4897959183672,2285.4897959183672,2285.4897959183672,2285.4897959183672,2285.4897959183672,2285.4897959183672,0.3,0.3,0.3
2020-11-07,2227.7346938775513,2238.5510204081634,2238.5510204081634,2238.5510204081634,2238.5510204081634,2238.5510204081634,2238.5510204081634,0.4,0.4,0.4
2020-11-08,2180.5306122448983,2191.6122448979595,2191.6122448979595,2191.6122448979595,2191.6122448979595,2191.6122448979595,2191.6122448979595,0.4,0.4,0.4
2020-11-09,2133.326530612245,2144.673469387755,2144.673469387755,2144.673469387755,2144.673469387755,2144.673469387755,2144.673469387755,0.4,0.4,0.4
2020-11-10,2086.122448979592,2097.734693877551,2097.734693877551,2097.734693877551,2097.734693877551,2097.734693877551,2097.734693877551,0.4,0.4,0.4
2020-11-11,2038.9183673469388,2050.795918367347,2050.795918367347,2050.795918367347,2050.795918367347,2050.795918367347,2050.795918367347,0.4,0.4,0.4
2020-11-12,1991.7142857142858,2003.857142857143,2003.857142857143,2003.857142857143,2003.857142857143,2003.857142857143,2003.857142857143,0.4,0.4,0.4
2020-11-13,1914.8979591836735,1926.4489795918369,1926.4489795918369,1926.4489795918369,1926.4489795918369,1926.4489795918369,1926.4489795918369,0.4,0.4,0.4
2020-11-14,1838.0816326530612,1849.0408163265306,1849.0408163265306,1849.0408163265306,1849.0408163265306,1849.0408163265306,1849.0408163265306,0.4,0.4,0.4
2020-11-15,1761.2653061224491,1771.6326530612246,1771.6326530612246,1771.6326530612246,1771.6326530612246,1771.6326530612246,1771.6326530612246,0.3,0.3,0.3
2020-11-16,1684.4489795918369,1694.2244897959183,1694.2244897959183,1694.2244897959183,1694.2244897959183,1694.2244897959183,1694.2244897959183,0.3,0.3,0.3
2020-11-17,1607.6326530612246,1616.8163265306123,1616.8163265306123,1616.8163265306123,1616.8163265306123,1616.8163265306123,1616.8163265306123,0.3,0.3,0.3
2020-11-18,1530.8163265306123,1539.408163265306,1539.408163265306,1539.408163265306,1539.408163265306,1539.408163265306,1539.408163265306,0.3,0.3,0.3
2020-11-19,1454,1462,1462,1462,1462,1462,1462,0.3,0.3,0.3
2020-11-20,1403.530612244898,1411.5714285714287,1411.5714285714287,1411.5714285714287,1411.5714285714287,1411.5714285714287,1411.5714285714287,0.3,0.3,0.3
2020-11-21,1353.061224489796,1361.142857142857,1361.142857142857,1361.142857142857,1361.142857142857,1361.142857142857,1361.142857142857,0.3,0.3,0.3
2020-11-22,1302.591836734694,1310.7142857142858,1310.7142857142858,1310.7142857142858,1310.7142857142858,1310.7142857142858,1310.7142857142858,0.3,0.3,0.3
2020-11-23,1252.1224489795918,1260.2857142857142,1260.2857142857142,1260.2857142857142,1260.2857142857142,1260.2857142857142,1260.2857142857142,0.3,0.3,0.3
2020-11-24,1201.6530612244899,1209.857142857143,1209.857142857143,1209.857142857143,1209.857142857143,1209.857142857143,1209.857142857143,0.3,0.3,0.3
