date,reality,blue_full,blue_dashed,purple_full,purple_dashed,pink_full,pink_dashed,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-08-16,624,1920,1733,1633,1485,1263,1145,1559.0,1145,1920,17.2,30.8,42.7,242.57142857142858,368.74592176927376,344.8571428571431,441.2452081434077,664.845417900295
2021-08-17,620,2080,1830,1720,1514,1285,1138,1617.0,1138,2080,17.1,32.8,48.1,242.57142857142858,377.310661072916,352.57142857142884,452.0044720410976,680.66182089628
2021-08-18,617,2216,1945,1797,1601,1312,1170,1699.0,1170,2216,18.2,35.6,52.7,242.57142857142858,385.8730928648072,360.28571428571456,462.7637359387877,696.399141877285
2021-08-19,612,2352,2063,1905,1650,1339,1181,1777.5,1181,2352,18.7,38.4,57.3,242.57142857142858,394.4381430841204,368.0000000000003,473.52299983647765,712.0577762533851
2021-08-20,604,2485,2112,1973,1699,1361,1176,1836.0,1176,2485,18.8,40.6,62.0,242.57142857142858,403.0025529236807,375.714285714286,484.28226373416766,727.6381174576045
2021-08-21,600,2607,2219,2058,1727,1388,1178,1892.5,1178,2607,19.0,42.6,66.1,242.57142857142858,411.5658729383237,383.4285714285718,495.04152763185766,743.140556955803
2021-08-22,597,2771,2314,2140,1790,1405,1182,1965.0,1182,2771,19.3,45.1,71.6,242.57142857142858,420.1304308672993,391.14285714285745,505.80079152954767,758.5654842565104
2021-08-23,580,2907,2374,2221,1847,1437,1188,2034.0,1188,2907,20.0,47.9,76.6,242.57142857142858,428.6946853777061,398.8571428571432,516.5600554272377,773.9132869207143
2021-08-24,571,3019,2428,2303,1862,1454,1192,2082.5,1192,3019,20.5,49.8,80.6,242.57142857142858,437.25842517055446,406.5714285714289,527.3193193249276,789.1843505715972
2021-08-25,558,3179,2485,2363,1895,1459,1192,2129.0,1192,3179,20.9,51.7,86.3,242.57142857142858,445.8227502119951,414.2857142857146,538.0785832226177,804.3790589042256
2021-08-26,551,3277,2576,2428,1911,1475,1181,2169.5,1181,3277,20.8,53.3,89.8,242.57142857142858,454.3869314914541,422.00000000000034,548.8378471203077,819.4977936951909
2021-08-27,534,3397,2602,2488,1916,1486,1170,2202.0,1170,3397,20.9,54.9,94.3,242.57142857142858,462.9508696733134,429.71428571428606,559.5971110179977,834.5409348122014
