date,Median,Relaxation,Strenghtening,reality_report,reality
2020-11-20,1413.1632653061224,NA,NA,1413.1632653061224,1403.530612244898
2020-11-21,1365.1836734693877,NA,NA,1365.1836734693877,1353.061224489796
2020-11-22,1317.204081632653,NA,NA,1317.204081632653,1302.591836734694
2020-11-23,1269.2244897959183,NA,NA,1269.2244897959183,1252.1224489795918
2020-11-24,1221.2448979591836,NA,NA,1221.2448979591836,1201.6530612244899
2020-11-25,1173.265306122449,NA,NA,1173.265306122449,1151.183673469388
2020-11-26,1125.2857142857142,NA,NA,1125.2857142857142,1100.7142857142858
2020-11-27,1113.2857142857142,NA,NA,1113.2857142857142,1090.4489795918369
2020-11-28,1101.2857142857142,NA,NA,1101.2857142857142,1080.1836734693877
2020-11-29,1089.2857142857142,NA,NA,1089.2857142857142,1069.9183673469388
2020-11-30,1077.2857142857142,NA,NA,1077.2857142857142,1059.6530612244899
2020-12-01,1065.2857142857142,NA,NA,1065.2857142857142,1049.387755102041
2020-12-02,1053.2857142857142,NA,NA,1053.2857142857142,1039.1224489795918
2020-12-03,1041.2857142857142,NA,NA,1041.2857142857142,1028.857142857143
2020-12-04,1032.8775510204082,NA,NA,1032.8775510204082,1022.5714285714286
2020-12-05,1024.469387755102,NA,NA,1024.469387755102,1016.2857142857143
2020-12-06,1016.0612244897959,NA,NA,1016.0612244897959,1010
2020-12-07,1007.6530612244898,NA,NA,1007.6530612244898,1003.7142857142858
2020-12-08,999.2448979591836,NA,NA,999.2448979591836,997.4285714285714
2020-12-09,990.8367346938776,NA,NA,990.8367346938776,991.1428571428572
2020-12-10,982.4285714285714,NA,NA,982.4285714285714,984.8571428571429
2020-12-11,983.6326530612245,NA,NA,983.6326530612245,984.8979591836735
2020-12-12,984.8367346938776,NA,NA,984.8367346938776,984.9387755102041
2020-12-13,986.0408163265306,NA,NA,986.0408163265306,984.9795918367347
2020-12-14,987.2448979591837,NA,NA,987.2448979591837,985.0204081632653
2020-12-15,988.4489795918367,NA,NA,988.4489795918367,985.0612244897959
2020-12-16,989.6530612244899,NA,NA,989.6530612244899,985.1020408163265
2020-12-17,990.8571428571429,NA,NA,990.8571428571429,985.1428571428571
2020-12-18,980.0612244897959,NA,NA,980.0612244897959,972.8979591836735
2020-12-19,969.265306122449,NA,NA,969.265306122449,960.6530612244898
2020-12-20,958.469387755102,NA,NA,958.469387755102,948.4081632653061
2020-12-21,947.6734693877552,NA,NA,947.6734693877552,936.1632653061224
2020-12-22,936.8775510204082,NA,NA,936.8775510204082,923.9183673469388
2020-12-23,926.0816326530613,NA,NA,926.0816326530613,911.6734693877552
2020-12-24,915.2857142857143,NA,NA,915.2857142857143,899.4285714285714
2020-12-25,922.4897959183673,NA,NA,922.4897959183673,907.1020408163265
2020-12-26,929.6938775510205,NA,NA,929.6938775510205,914.7755102040817
2020-12-27,936.8979591836735,NA,NA,936.8979591836735,922.4489795918367
2020-12-28,944.1020408163265,NA,NA,944.1020408163265,930.1224489795918
2020-12-29,951.3061224489795,NA,NA,951.3061224489795,937.7959183673469
2020-12-30,958.5102040816327,NA,NA,958.5102040816327,945.469387755102
2020-12-31,965.7142857142857,NA,NA,965.7142857142857,953.1428571428571
2021-01-01,986.1020408163265,NA,NA,986.1020408163265,971.5102040816327
2021-01-02,1006.4897959183672,NA,NA,1006.4897959183672,989.8775510204082
2021-01-03,1026.8775510204082,NA,NA,1026.8775510204082,1008.2448979591837
2021-01-04,1047.265306122449,NA,NA,1047.265306122449,1026.6122448979593
2021-01-05,1067.6530612244896,NA,NA,1067.6530612244896,1044.9795918367347
2021-01-06,1088.0408163265306,NA,NA,1088.0408163265306,1063.3469387755104
2021-01-07,1108.4285714285713,NA,NA,1108.4285714285713,1081.7142857142858
2021-01-08,1112.7755102040815,NA,NA,1125.2244897959183,1101.7142857142858
2021-01-09,1117.1224489795918,NA,NA,1142.0204081632653,1121.7142857142858
2021-01-10,1121.469387755102,NA,NA,1158.8163265306123,1141.7142857142858
2021-01-11,1125.8163265306123,NA,NA,1175.612244897959,1161.7142857142858
2021-01-12,1130.1632653061224,NA,NA,1192.408163265306,1181.7142857142858
2021-01-13,1134.5102040816328,NA,NA,1209.204081632653,1201.7142857142858
2021-01-14,1138.857142857143,1125,1166.5714285714287,1226,1221.7142857142858
2021-01-15,1154.387755102041,1149.8163265306123,1183.9591836734694,1246.3877551020407,1239.857142857143
2021-01-16,1169.9183673469388,1174.6326530612246,1201.3469387755104,1266.7755102040817,1258
2021-01-17,1185.4489795918369,1199.4489795918369,1218.734693877551,1287.1632653061224,1276.142857142857
2021-01-18,1200.9795918367347,1224.265306122449,1236.1224489795918,1307.5510204081634,1294.2857142857144
2021-01-19,1216.5102040816328,1249.0816326530612,1253.5102040816325,1327.938775510204,1312.4285714285716
2021-01-20,1232.0408163265306,1273.8979591836735,1270.8979591836735,1348.326530612245,1330.5714285714287
2021-01-21,1247.5714285714287,1298.7142857142858,1288.2857142857142,1368.7142857142858,1348.7142857142858
2021-01-22,1254.938775510204,1298.2653061224491,1290.0204081632653,1367.5102040816328,1346.0408163265306
2021-01-23,1262.3061224489797,1297.8163265306123,1291.7551020408162,1366.3061224489795,1343.3673469387757
2021-01-24,1269.6734693877552,1297.3673469387757,1293.4897959183672,1365.1020408163265,1340.6938775510205
2021-01-25,1277.0408163265306,1296.9183673469388,1295.2244897959183,1363.8979591836735,1338.0204081632653
2021-01-26,1284.408163265306,1296.4693877551022,1296.9591836734694,1362.6938775510205,1335.3469387755101
2021-01-27,1291.7755102040817,1296.0204081632653,1298.6938775510203,1361.4897959183672,1332.6734693877552
2021-01-28,1299.142857142857,1295.5714285714287,1300.4285714285713,1360.2857142857142,1330
2021-01-29,1299.9183673469388,1297.2653061224491,1299.3061224489795,1363.8979591836735,1329.6938775510205
2021-01-30,1300.6938775510205,1298.9591836734694,1298.1836734693877,1367.5102040816325,1329.3877551020407
2021-01-31,1301.4693877551022,1300.6530612244899,1297.061224489796,1371.1224489795918,1329.0816326530612
2021-02-01,1302.2448979591836,1302.3469387755101,1295.938775510204,1374.734693877551,1328.7755102040817
2021-02-02,1303.0204081632653,1304.0408163265306,1294.8163265306123,1378.3469387755104,1328.4693877551022
2021-02-03,1303.795918367347,1305.7346938775509,1293.6938775510205,1381.9591836734694,1328.1632653061224
2021-02-04,1304.5714285714287,1307.4285714285713,1292.5714285714287,1385.5714285714287,1327.857142857143
2021-02-05,1317.326530612245,1317.3877551020407,1302.4693877551022,NA,1304.530612244898
2021-02-06,1330.0816326530612,1327.3469387755101,1312.3673469387757,NA,1281.204081632653
2021-02-07,1342.8367346938776,1337.3061224489795,1322.2653061224491,NA,1257.8775510204082
2021-02-08,1355.591836734694,1347.265306122449,1332.1632653061224,NA,1234.5510204081634
2021-02-09,1368.3469387755104,1357.2244897959183,1342.061224489796,NA,1211.2244897959185
2021-02-10,1381.1020408163265,1367.1836734693877,1351.9591836734694,NA,1187.8979591836735
2021-02-11,1393.857142857143,1377.142857142857,1361.857142857143,NA,1164.5714285714287
2021-02-12,1407.387755102041,1396.5714285714284,1372.5510204081634,NA,1161.5714285714287
2021-02-13,1420.9183673469388,1416,1383.2448979591836,NA,1158.5714285714287
2021-02-14,1434.4489795918369,1435.4285714285713,1393.938775510204,NA,1155.5714285714287
2021-02-15,1447.9795918367347,1454.857142857143,1404.6326530612246,NA,1152.5714285714287
