date,low,high,median,reality_report,reality
2021-02-28,3420,3420,3420,3580,3494
2021-03-01,3421,3421,3421,3604,3573
2021-03-02,3451,3451,3451,3627,3603
2021-03-03,3498,3498,3498,3649,3623
2021-03-04,3520,3520,3520,3695,3624
2021-03-05,3547,3547,3547,3719,3682
2021-03-06,3594,3594,3594,3795,3694
2021-03-07,3645,3645,3645,3843,3793
2021-03-08,3692,3692,3692,3877,3862
2021-03-09,3749,3749,3749,3892,3878
2021-03-10,3799,3799,3799,3889,3870
2021-03-11,3843,3843,3843,3937,3885
2021-03-12,3856,3856,3856,3939,3958
2021-03-13,3904,3904,3904,4055,3957
2021-03-14,3957,3957,3957,4156,4052
2021-03-15,4016,4016,4016,4215,4199
2021-03-16,4077,4077,4077,4197,4174
2021-03-17,4126,4126,4126,4197,4185
2021-03-18,4176,4176,4176,4217,4202
2021-03-19,4271,4271,4271,4278,4199
2021-03-20,4297,4297,4297,4433,4270
2021-03-21,4375,4375,4375,4537,4430
2021-03-22,4456,4456,4456,4592,4545
2021-03-23,4504,4504,4504,4604,4573
2021-03-24,4563,4563,4563,4628,4628
2021-03-25,4615,4615,4615,4659,4650
2021-03-26,4689,4689,4689,4758,4680
2021-03-27,4775,4775,4775,4829,4748
2021-03-28,4835,4835,4835,4990,4891
2021-03-29,4905,4905,4905,5009,4993
2021-03-30,4984,4984,4984,5057,5026
2021-03-31,5053,5053,5053,5094,5025
2021-04-01,5104,5104,5104,5142,5063
2021-04-02,5243,5243,5243,5183,5172
2021-04-03,5277,5277,5277,5274,5198
2021-04-04,5324,5324,5324,5379,5331
2021-04-05,5437,5437,5437,5550,5462
2021-04-06,5516,5516,5516,5650,5626
2021-04-07,5568,5568,5568,5615,5629
2021-04-08,5633,5633,5633,5640,5641
2021-04-09,5689,5689,5689,5675,5651
2021-04-10,5713,5713,5713,5764,5681
2021-04-11,5769,5769,5769,5856,5785
2021-04-12,5820,5820,5820,5927,5909
2021-04-13,5821,5821,5821,5884,5878
2021-04-14,5855,5855,5855,5824,5804
2021-04-15,5916,5916,5916,5798,5783
2021-04-16,5941,5941,5941,5818,5799
2021-04-17,5926,5926,5926,5817,5702
2021-04-18,5929,5929,5929,5842,5798
2021-04-19,5960,5960,5960,5906,5885
2021-04-20,5938,5938,5938,5899,5856
2021-04-21,5933,5933,5933,5875,5852
2021-04-22,5912,5912,5912,5853,5835
2021-04-23,5889,5889,5889,5839,5814
2021-04-24,5840,5840,5840,5850,5759
2021-04-25,5858,5858,5858,5913,5849
2021-04-26,5817,5817,5817,5866,5920
2021-04-27,5788,5788,5788,5826,5773
2021-04-28,5759,5759,5759,5717,5713
2021-04-29,5711,5711,5711,5637,5645
2021-04-30,5637,5637,5637,5506,5491
2021-05-01,5576,5576,5576,5494,5397
2021-05-02,5517,5517,5517,5495,5400
2021-05-03,5428,5428,5428,5381,5462
2021-05-04,5368,5368,5368,5258,5283
2021-05-05,5234,5234,5234,5138,5151
2021-05-06,5074,5074,5074,5009,5021
2021-05-07,4988,4988,4988,4825,4832
2021-05-08,4807,4807,4807,4771,4669
2021-05-09,4740,4740,4740,4718,4662
2021-05-10,4653,4653,4653,4715,4616
2021-05-11,4492,4492,4492,4546,4472
2021-05-12,4286,4286,4286,4409,4303
2021-05-13,4196,4196,4196,4279,4130
2021-05-14,4049,4049,4049,4187,4087
2021-05-15,3917,3917,3917,NA,3946
2021-05-16,3839,3839,3839,NA,3933
2021-05-17,3628,3628,3628,NA,3937
2021-05-18,3439,3439,3439,NA,3742
2021-05-19,3297,3297,3297,NA,3610
2021-05-20,3183,3183,3183,NA,3456
2021-05-21,3068,3068,3068,NA,3319
2021-05-22,2977,2977,2977,NA,3187
2021-05-23,2863,2863,2863,NA,3180
2021-05-24,2741,2741,2741,NA,3179
2021-05-25,2637,2637,2637,NA,3156
2021-05-26,2547,2547,2547,NA,3029
2021-05-27,2445,2445,2445,NA,2933
2021-05-28,2355,2355,2355,NA,2841
2021-05-29,2289,2289,2289,NA,2703
2021-05-30,2177,2177,2177,NA,2691
2021-05-31,2107,2107,2107,NA,2685
2021-06-01,1982,1982,1982,NA,2553
2021-06-02,1883,1822,1822,NA,2478
2021-06-03,1817,1863,1863,NA,2388
2021-06-04,1757,1796,1796,NA,2308
2021-06-05,1717,1720,1720,NA,2230
2021-06-06,1662,1638,1638,NA,2219
2021-06-07,1585,1596,1596,NA,2216
2021-06-08,1527,1546,1546,NA,2120
2021-06-09,1466,1499,1499,NA,2026
2021-06-10,1391,1419,1419,NA,1935
2021-06-11,1326,1381,1381,NA,1857
2021-06-12,1270,1338,1338,NA,1765
2021-06-13,1216,1294,1294,NA,1764
2021-06-14,1188,1252,1252,NA,1770
2021-06-15,1148,1222,1222,NA,1670
2021-06-16,1106,1194,1194,NA,1601
2021-06-17,1048,1159,1159,NA,1537
2021-06-18,1007,1110,1110,NA,1465
2021-06-19,981,1076,1076,NA,1392
2021-06-20,965,1050,1050,NA,1383
2021-06-21,942,1030,1030,NA,1364
2021-06-22,924,1026,1026,NA,1287
2021-06-23,903,1027,1027,NA,1251
2021-06-24,877,987,987,NA,1190
2021-06-25,851,1000,1000,NA,1121
2021-06-26,831,976,976,NA,1084
2021-06-27,788,957,957,NA,1068
2021-06-28,772,949,949,NA,1054
2021-06-29,746,917,917,NA,996
2021-06-30,731,922,922,NA,965
2021-07-01,718,976,976,NA,933
