date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40
2021/03/29,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729
2021/03/30,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746
2021/03/31,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765
2021/04/01,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
2021/04/02,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788
2021/04/03,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
2021/04/04,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808
2021/04/05,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821
2021/04/06,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837
2021/04/07,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836
2021/04/08,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836
2021/04/09,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
2021/04/10,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790
2021/04/11,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774
2021/04/12,1729,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704
2021/04/13,1728,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699
2021/04/14,1717,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694
2021/04/15,1687,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681
2021/04/16,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
2021/04/17,1638,1638,1664,1638,1664,1638,1664,1638,1664,1638,1664,1638,1664
2021/04/18,1612,1612,1645,1612,1645,1612,1645,1612,1645,1612,1645,1612,1645
2021/04/19,1603,1603,1669,1603,1669,1603,1669,1603,1669,1603,1669,1603,1669
2021/04/20,1586,1586,1689,1586,1689,1586,1689,1586,1689,1586,1689,1586,1689
2021/04/21,1576,1576,1666,1576,1666,1576,1666,1576,1666,1576,1666,1576,1666
