date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2020-10-27,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2039.5306122448978,2024.4285714285713
2020-10-28,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2145.265306122449,2100.142857142857
2020-10-29,2251,2251,2251,2251,2251,2251,2251,2175.8571428571427
2020-10-30,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2284.734693877551,2196.7551020408164
2020-10-31,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2318.469387755102,2217.6530612244896
2020-11-01,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2352.204081632653,2238.5510204081634
2020-11-02,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2385.9387755102043,2259.4489795918366
2020-11-03,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2419.673469387755,2280.3469387755104
2020-11-04,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2453.4081632653065,2301.2448979591836
2020-11-05,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2487.1428571428573,2322.1428571428573
2020-11-06,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2394.775510204082,2274.9387755102043
2020-11-07,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2302.4081632653065,2227.7346938775513
2020-11-08,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2210.0408163265306,2180.5306122448983
2020-11-09,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2117.673469387755,2133.326530612245
2020-11-10,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2025.3061224489797,2086.122448979592
2020-11-11,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,1932.9387755102043,2038.9183673469388
2020-11-12,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1840.5714285714287,1991.7142857142858
2020-11-13,1774,1774,1774,1774,1774,1774,1774,1914.8979591836735
2020-11-14,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1707.4285714285716,1838.0816326530612
2020-11-15,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1640.857142857143,1761.2653061224491
2020-11-16,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1574.2857142857144,1684.4489795918369
2020-11-17,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1607.6326530612246
2020-11-18,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1530.8163265306123
2020-11-19,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1454
2020-11-20,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1403.530612244898
2020-11-21,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1353.061224489796
2020-11-22,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1302.591836734694
2020-11-23,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1252.1224489795918
2020-11-24,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1201.6530612244899
2020-11-25,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1151.183673469388
2020-11-26,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1100.7142857142858
2020-11-27,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1136.183673469388,1090.4489795918369
2020-11-28,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1121.795918367347,1080.1836734693877
2020-11-29,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1107.4081632653063,1069.9183673469388
