date,R_09,R_1,R_11,reality_report,reality
2020-12-11,997.0816326530612,997.0816326530612,997.0816326530612,997.0816326530612,984.8979591836735
2020-12-12,996.7346938775511,996.7346938775511,996.7346938775511,996.7346938775511,984.9387755102041
2020-12-13,996.3877551020408,996.3877551020408,996.3877551020408,996.3877551020408,984.9795918367347
2020-12-14,996.0408163265306,996.0408163265306,996.0408163265306,996.0408163265306,985.0204081632653
2020-12-15,995.6938775510204,995.6938775510204,995.6938775510204,995.6938775510204,985.0612244897959
2020-12-16,995.3469387755102,995.3469387755102,995.3469387755102,995.3469387755102,985.1020408163265
2020-12-17,995,995,995,995,985.1428571428571
2020-12-18,982.8979591836735,982.8979591836735,982.8979591836735,982.8979591836735,972.8979591836735
2020-12-19,970.795918367347,970.795918367347,970.795918367347,970.795918367347,960.6530612244898
2020-12-20,958.6938775510205,958.6938775510205,958.6938775510205,958.6938775510205,948.4081632653061
2020-12-21,946.5918367346939,946.5918367346939,946.5918367346939,946.5918367346939,936.1632653061224
2020-12-22,934.4897959183673,934.4897959183673,934.4897959183673,934.4897959183673,923.9183673469388
2020-12-23,922.3877551020408,922.3877551020408,922.3877551020408,922.3877551020408,911.6734693877552
2020-12-24,910.2857142857143,910.2857142857143,910.2857142857143,910.2857142857143,899.4285714285714
2020-12-25,917.3265306122449,917.3265306122449,917.3265306122449,917.3265306122449,907.1020408163265
2020-12-26,924.3673469387755,924.3673469387755,924.3673469387755,924.3673469387755,914.7755102040817
2020-12-27,931.4081632653061,931.4081632653061,931.4081632653061,931.4081632653061,922.4489795918367
2020-12-28,938.4489795918367,938.4489795918367,938.4489795918367,938.4489795918367,930.1224489795918
2020-12-29,945.4897959183673,945.4897959183673,945.4897959183673,945.4897959183673,937.7959183673469
2020-12-30,952.530612244898,952.530612244898,952.530612244898,952.530612244898,945.469387755102
2020-12-31,959.5714285714286,959.5714285714286,959.5714285714286,959.5714285714286,953.1428571428571
2021-01-01,980.5714285714286,980.5714285714286,980.5714285714286,980.5714285714286,971.5102040816327
2021-01-02,1001.5714285714286,1001.5714285714286,1001.5714285714286,1001.5714285714286,989.8775510204082
2021-01-03,1022.5714285714286,1022.5714285714286,1022.5714285714286,1022.5714285714286,1008.2448979591837
2021-01-04,1043.5714285714287,1043.5714285714287,1043.5714285714287,1043.5714285714287,1026.6122448979593
2021-01-05,1064.5714285714287,1064.5714285714287,1064.5714285714287,1064.5714285714287,1044.9795918367347
2021-01-06,1085.5714285714287,1085.5714285714287,1085.5714285714287,1085.5714285714287,1063.3469387755104
2021-01-07,1106.5714285714287,1106.5714285714287,1106.5714285714287,1106.5714285714287,1081.7142857142858
2021-01-08,1122.4897959183675,1123.6734693877552,1118.1428571428573,1127.1224489795918,1101.7142857142858
2021-01-09,1138.4081632653063,1140.7755102040817,1129.7142857142858,1147.6734693877552,1121.7142857142858
2021-01-10,1154.326530612245,1157.8775510204082,1141.2857142857144,1168.2244897959183,1141.7142857142858
2021-01-11,1170.2448979591836,1174.9795918367347,1152.857142857143,1188.7755102040817,1161.7142857142858
2021-01-12,1186.1632653061224,1192.0816326530612,1164.4285714285716,1209.3265306122448,1181.7142857142858
2021-01-13,1202.0816326530612,1209.1836734693877,1176,1229.8775510204082,1201.7142857142858
2021-01-14,1218,1226.2857142857142,1187.5714285714287,1250.4285714285713,1221.7142857142858
2021-01-15,1234.5714285714287,1241.3265306122448,1208.0816326530612,1269.673469387755,1239.857142857143
2021-01-16,1251.142857142857,1256.3673469387754,1228.591836734694,1288.9183673469388,1258
2021-01-17,1267.7142857142858,1271.408163265306,1249.1020408163265,1308.1632653061224,1276.142857142857
2021-01-18,1284.2857142857142,1286.4489795918369,1269.6122448979593,1327.408163265306,1294.2857142857144
2021-01-19,1300.857142857143,1301.4897959183675,1290.1224489795918,1346.6530612244896,1312.4285714285716
2021-01-20,1317.4285714285713,1316.530612244898,1310.6326530612246,1365.8979591836735,1330.5714285714287
2021-01-21,1334,1331.5714285714287,1331.142857142857,1385.142857142857,1348.7142857142858
2021-01-22,1337.3061224489795,1335.9795918367347,1332.857142857143,1389.5918367346937,1346.0408163265306
2021-01-23,1340.6122448979593,1340.387755102041,1334.5714285714284,1394.0408163265306,1343.3673469387757
2021-01-24,1343.9183673469388,1344.795918367347,1336.2857142857142,1398.4897959183672,1340.6938775510205
2021-01-25,1347.2244897959183,1349.204081632653,1338,1402.938775510204,1338.0204081632653
2021-01-26,1350.5306122448978,1353.612244897959,1339.7142857142858,1407.3877551020407,1335.3469387755101
2021-01-27,1353.8367346938776,1358.0204081632653,1341.4285714285713,1411.8367346938776,1332.6734693877552
2021-01-28,1357.142857142857,1362.4285714285713,1343.142857142857,1416.2857142857142,1330
2021-01-29,1357.0408163265306,1368.5918367346937,1350.8367346938776,NA,1329.6938775510205
2021-01-30,1356.938775510204,1374.7551020408164,1358.5306122448978,NA,1329.3877551020407
2021-01-31,1356.8367346938776,1380.9183673469388,1366.2244897959183,NA,1329.0816326530612
2021-02-01,1356.7346938775509,1387.0816326530612,1373.9183673469388,NA,1328.7755102040817
2021-02-02,1356.6326530612243,1393.2448979591836,1381.6122448979593,NA,1328.4693877551022
2021-02-03,1356.5306122448978,1399.4081632653063,1389.3061224489795,NA,1328.1632653061224
2021-02-04,1356.4285714285713,1405.5714285714287,1397,NA,1327.857142857143
2021-02-05,1353.3265306122448,1422.387755102041,1440.1632653061224,NA,1304.530612244898
2021-02-06,1350.2244897959183,1439.204081632653,1483.3265306122448,NA,1281.204081632653
2021-02-07,1347.1224489795918,1456.0204081632653,1526.4897959183672,NA,1257.8775510204082
2021-02-08,1344.0204081632653,1472.8367346938776,1569.6530612244896,NA,1234.5510204081634
2021-02-09,1340.9183673469388,1489.6530612244899,1612.8163265306123,NA,1211.2244897959185
2021-02-10,1337.8163265306123,1506.469387755102,1655.9795918367347,NA,1187.8979591836735
2021-02-11,1334.7142857142858,1523.2857142857142,1699.142857142857,NA,1164.5714285714287
2021-02-12,1336.7551020408164,1554.2857142857142,1762.795918367347,NA,1161.5714285714287
2021-02-13,1338.795918367347,1585.2857142857142,1826.4489795918366,NA,1158.5714285714287
2021-02-14,1340.8367346938776,1616.2857142857142,1890.1020408163265,NA,1155.5714285714287
2021-02-15,1342.8775510204082,1647.2857142857142,1953.7551020408164,NA,1152.5714285714287
2021-02-16,1344.9183673469388,1678.2857142857142,2017.408163265306,NA,1149.5714285714287
2021-02-17,1346.9591836734694,1709.2857142857142,2081.061224489796,NA,1146.5714285714287
2021-02-18,1349,1740.2857142857142,2144.714285714286,NA,1143.5714285714287
2021-02-19,1358.7142857142858,1784.5918367346937,2245.122448979592,NA,1149.387755102041
2021-02-20,1368.4285714285713,1828.8979591836735,2345.530612244898,NA,1155.204081632653
2021-02-21,1378.142857142857,1873.204081632653,2445.938775510204,NA,1161.0204081632653
2021-02-22,1387.857142857143,1917.5102040816328,2546.3469387755104,NA,1166.8367346938776
2021-02-23,1397.5714285714287,1961.8163265306123,2646.7551020408164,NA,1172.6530612244899
2021-02-24,1407.2857142857142,2006.1224489795918,2747.1632653061224,NA,1178.469387755102
2021-02-25,1417,2050.4285714285716,2847.5714285714284,NA,1184.2857142857142
2021-02-26,1437.857142857143,2123.081632653061,3003.938775510204,NA,1188.5306122448978
2021-02-27,1458.7142857142858,2195.7346938775513,3160.3061224489793,NA,1192.7755102040817
2021-02-28,1479.5714285714287,2268.387755102041,3316.673469387755,NA,1197.0204081632653
2021-03-01,1500.4285714285713,2341.0408163265306,3473.0408163265306,NA,1201.265306122449
2021-03-02,1521.2857142857142,2413.6938775510207,3629.408163265306,NA,1205.5102040816325
2021-03-03,1542.142857142857,2486.3469387755104,3785.775510204082,NA,1209.7551020408164
2021-03-04,1563,2559,3942.1428571428573,NA,1214
2021-03-05,1596.2448979591836,2663.591836734694,NA,NA,1221.6734693877552
2021-03-06,1629.4897959183675,2768.183673469388,NA,NA,1229.3469387755101
2021-03-07,1662.734693877551,2872.775510204082,NA,NA,1237.0204081632653
2021-03-08,1695.9795918367347,2977.3673469387754,NA,NA,1244.6938775510205
2021-03-09,1729.2244897959185,3081.9591836734694,NA,NA,1252.3673469387757
2021-03-10,1762.4693877551022,3186.5510204081634,NA,NA,1260.0408163265306
2021-03-11,1795.7142857142858,3291.1428571428573,NA,NA,1267.7142857142858
2021-03-12,1847.326530612245,3431.183673469388,NA,NA,1295.0408163265306
2021-03-13,1898.938775510204,3571.2244897959185,NA,NA,1322.3673469387757
2021-03-14,1950.5510204081634,3711.265306122449,NA,NA,1349.6938775510205
2021-03-15,2002.1632653061224,3851.3061224489797,NA,NA,1377.0204081632653
2021-03-16,2053.775510204082,3991.3469387755104,NA,NA,1404.3469387755104
2021-03-17,2105.387755102041,4131.387755102041,NA,NA,1431.6734693877552
2021-03-18,2157,4271.428571428572,NA,NA,1459
