date,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line,reality_report,reality
2021-10-12,96,96,96,96,96,96,96,96,96,NA,NA,NA,NA,NA,74,NA,164
2021-10-13,94,94,94,94,94,94,94,94,94,NA,NA,NA,NA,NA,72,NA,164
2021-10-14,87,87,87,87,87,87,87,87,87,NA,NA,NA,NA,NA,72,NA,164
2021-10-15,80,80,80,80,80,80,80,80,80,NA,NA,NA,NA,NA,72,NA,165
2021-10-16,81,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,177
2021-10-17,74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,175
2021-10-18,74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,173
2021-10-19,71,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,185
2021-10-20,66,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,187
2021-10-21,64,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,188
2021-10-22,64,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,188
2021-10-23,61,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,187
2021-10-24,61,64,61,77,77,83,101,101,101,NA,NA,NA,NA,NA,59,NA,194
2021-10-25,56,61,57,77,77,82,101,101,101,NA,NA,NA,NA,NA,46,NA,202
2021-10-26,52,58,58,77,77,84,101,101,101,NA,NA,NA,NA,NA,48,NA,206
2021-10-27,52,58,58,77,77,86,101,101,101,NA,NA,NA,NA,47,48,NA,199
2021-10-28,49,55,58,77,77,89,101,101,101,NA,NA,NA,NA,56,48,NA,211
2021-10-29,45,55,58,80,77,92,100,100,100,72,72,NA,49,56,48,NA,210
2021-10-30,45,55,58,80,80,95,NA,107,107,72,72,NA,57,55,49,NA,225
2021-10-31,42,51,58,83,83,97,NA,108,108,73,73,NA,57,44,45,NA,239
2021-11-01,40,51,58,83,83,100,NA,107,107,70,70,NA,52,39,40,NA,241
2021-11-02,38,51,58,86,86,102,NA,112,112,84,84,79,48,46,34,NA,245
2021-11-03,38,51,58,92,92,108,NA,116,116,89,89,80,48,48,32,NA,260
2021-11-04,39,51,58,97,96,109,102,117,117,88,88,80,48,48,32,NA,277
2021-11-05,35,51,58,97,100,110,112,131,131,89,89,80,48,48,32,NA,286
2021-11-06,32,52,58,103,105,114,116,129,129,99,99,84,50,48,29,NA,291
2021-11-07,32,53,58,103,106,115,115,129,129,106,105,99,57,48,27,NA,306
2021-11-08,29,50,56,97,95,115,122,136,136,98,99,91,56,48,29,NA,317
2021-11-09,29,48,54,89,99,115,110,124,124,102,95,87,56,48,17,NA,330
2021-11-10,29,55,55,107,111,119,118,132,132,104,103,94,56,48,16,NA,328
2021-11-11,26,54,55,110,115,122,137,151,151,112,112,100,56,48,16,NA,331
2021-11-12,26,55,55,109,116,123,136,150,150,122,120,104,56,48,16,NA,347
2021-11-13,26,54,54,106,120,134,140,155,155,127,122,108,56,48,16,NA,348
2021-11-14,22,54,54,103,136,146,152,164,164,138,131,111,55,48,16,NA,363
2021-11-15,23,53,53,100,137,144,136,182,173,159,147,110,61,48,16,NA,377
2021-11-16,22,55,51,99,144,147,123,196,185,161,151,95,65,48,16,NA,376
2021-11-17,23,57,58,102,148,156,116,192,196,160,167,98,64,48,16,NA,384
2021-11-18,19,61,61,105,149,157,119,208,194,168,168,101,64,48,16,NA,407
2021-11-19,16,61,61,108,158,158,123,210,211,170,179,105,66,48,7,NA,429
2021-11-20,16,61,61,111,152,169,128,213,213,171,179,110,73,48,8,NA,438
2021-11-21,16,61,61,114,155,179,133,208,210,181,170,114,73,48,12,NA,474
