date,reality,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line
2021/12/04,,13,61,76,141,236,326,192,418,332,429,306,175,96,60,8
2021/12/05,,12,62,80,143,245,334,196,467,345,450,326,176,98,60,8
2021/12/06,,10,53,80,148,252,348,196,496,357,470,334,178,99,65,8
2021/12/07,,6,49,81,148,261,360,201,511,374,476,343,182,100,63,8
2021/12/08,,10,53,82,150,274,363,206,539,384,513,361,188,102,72,8
2021/12/09,,10,58,83,153,279,385,213,539,404,524,388,193,103,72,7
2021/12/10,,10,58,84,156,292,411,219,575,416,555,401,198,104,73,1
2021/12/11,,7,58,85,159,301,434,225,618,433,594,406,203,104,65,9
2021/12/12,,6,58,86,162,307,443,239,660,451,631,427,211,100,59,8
2021/12/13,,8,51,86,168,319,458,244,690,470,669,438,217,96,71,8
2021/12/14,,13,49,87,164,325,473,251,694,481,704,461,224,96,72,8
2021/12/15,,11,59,87,167,336,472,257,726,499,714,483,232,96,72,8
2021/12/16,,6,63,87,170,346,505,262,758,520,742,501,237,105,72,8
2021/12/17,,6,61,89,174,359,546,266,795,543,781,516,242,113,73,8
2021/12/18,,6,58,93,178,368,563,266,839,561,821,530,242,116,68,9
2021/12/19,,6,58,97,182,382,579,272,880,572,856,552,247,120,69,3
2021/12/20,,6,58,93,183,393,596,280,926,598,897,580,253,123,73,0
2021/12/21,,6,58,95,185,403,606,289,948,615,926,600,260,126,72,0
2021/12/22,,8,58,97,189,418,653,296,994,641,972,618,265,129,72,8
2021/12/23,,10,58,96,189,427,674,295,1030,661,1009,638,273,129,72,8
2021/12/24,,6,64,96,192,443,675,305,1046,684,1064,663,278,137,72,5
2021/12/25,,6,61,99,196,454,709,311,1111,716,1121,683,285,136,72,-1
2021/12/26,,6,61,100,200,467,754,317,1183,736,1174,719,292,135,72,0
2021/12/27,,6,61,103,204,481,781,324,1244,761,1207,742,299,143,72,-1
2021/12/28,,7,61,103,207,496,796,330,1264,783,1249,768,304,145,80,8
2021/12/29,,4,61,,210,510,804,340,1288,811,1278,787,,,89,7
2021/12/30,,9,61,,,524,856,,1383,838,1340,815,,,86,-1
2021/12/31,,6,59,,,539,904,,1458,870,1410,843,,,79,0
2022/01/01,,7,61,,,551,910,,1470,894,1461,869,,,84,0
