date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1
2021/06/11,,1326,1381,1527,1579,1215,1274,1365,1386,1085
2021/06/12,,1270,1338,1488,1564,1180,1235,1309,1362,1043
2021/06/13,,1216,1294,1414,1521,1121,1172,1264,1311,987
2021/06/14,,1188,1252,1376,1520,1089,1128,1237,1275,914
2021/06/15,,1148,1222,1348,1492,1043,1089,1217,1255,856
2021/06/16,,1106,1194,1335,1464,992,1043,1154,1221,834
2021/06/17,,1048,1159,1291,1450,955,1006,1130,1191,775
2021/06/18,,1007,1110,1281,1435,920,970,1095,1181,717
2021/06/19,,981,1076,1267,1424,872,934,1071,1170,675
2021/06/20,,965,1050,1248,1422,836,910,1034,1133,652
2021/06/21,,942,1030,1250,1431,773,896,998,1121,615
2021/06/22,,924,1026,1238,1427,756,869,971,1103,575
2021/06/23,,903,1027,1222,1430,701,853,952,1088,546
2021/06/24,,877,987,1194,1418,685,816,907,1064,517
2021/06/25,,851,1000,1200,1442,655,804,888,1045,490
2021/06/26,,831,976,1194,1449,628,765,865,1023,474
2021/06/27,,788,957,1160,1449,598,730,848,1023,431
2021/06/28,,772,949,1163,1467,568,705,818,1009,415
2021/06/29,,746,917,1147,1492,541,666,813,994,388
2021/06/30,,731,922,1148,1494,514,665,798,987,374
2021/07/01,,718,976,,1522,504,644,781,969,360
